Type;Units;Price
SELL;1000.0;1885.19
BUY;1010;1865.17
SELL;1010;1837.25
BUY;1006;1844.22
SELL;1006;1797.23
BUY;982;1842.55
SELL;982;1728.89
BUY;985;1722.62
SELL;985;1697.51
BUY;957;1747.31
SELL;957;1800.65
BUY;946;1822.66
SELL;946;1863.79
BUY;988;1783.26
SELL;988;1736.24
BUY;981;1748.71
SELL;981;1741.68
BUY;969;1762.95
SELL;969;1732.81
BUY;959;1751.18
SELL;959;1816.88
BUY;968;1800.19
SELL;968;1772.69
BUY;955;1798.0
SELL;955;1877.73
BUY;944;1898.82
SELL;944;1931.36
BUY;939;1942.49
SELL;939;2026.4
BUY;944;2015.01
SELL;944;2249.81
BUY;943;2252.39
SELL;943;2216.35
BUY;948;2203.46
SELL;948;2237.96
BUY;928;2287.86
SELL;928;2395.19
BUY;934;2378.39
SELL;934;2297.16
BUY;931;2305.98
SELL;931;2292.96
BUY;923;2310.69
SELL;923;2344.63
BUY;918;2357.45
SELL;918;2521.04
BUY;925;2502.15
SELL;925;2501.16
BUY;936;2471.22
SELL;936;2466.64
BUY;942;2452.47
SELL;942;2436.48
BUY;956;2400.6
SELL;956;2455.5
BUY;920;2552.5
SELL;920;2599.2
BUY;995;2402.18
SELL;995;2389.87
BUY;986;2410.71
SELL;986;2320.19
BUY;1012;2260.83
SELL;1012;2238.25
BUY;1010;2244.33
SELL;1010;2311.13
BUY;1018;2291.87
SELL;1018;2231.47
BUY;1025;2216.49
SELL;1025;2198.46
BUY;997;2259.34
SELL;997;2232.51
BUY;1033;2154.93
SELL;1033;2125.36
BUY;1019;2154.32
SELL;1019;2155.27
BUY;976;2250.61
SELL;976;2309.85
BUY;977;2308.65
SELL;977;2340.08
BUY;1033;2213.26
SELL;1033;2292.73
BUY;1064;2225.11
SELL;1064;2124.47
BUY;1029;2196.65
SELL;1029;2206.38
BUY;1016;2234.74
SELL;1016;2319.32
BUY;1026;2296.79
SELL;1026;2253.05
BUY;993;2329.09
SELL;993;2358.94
BUY;976;2399.77
SELL;976;2374.44
BUY;979;2366.6
SELL;979;2339.97
BUY;984;2326.78
